user_id,is_malicious,attack_type,attack_rate
284,1,high,0.1
116,1,high,0.1
113,1,low,0.1
42,1,high,0.1
126,1,low,0.1
231,1,high,0.1
181,1,low,0.1
278,1,high,0.1
336,1,low,0.1
25,1,high,0.1
124,1,low,0.1
221,1,low,0.1
261,1,high,0.1
155,1,high,0.1
109,1,low,0.1
172,1,high,0.1
118,1,low,0.1
325,1,high,0.1
266,1,low,0.1
9,1,low,0.1
280,1,low,0.1
55,1,low,0.1
165,1,low,0.1
119,1,low,0.1
144,1,high,0.1
90,1,high,0.1
108,1,high,0.1
210,1,low,0.1
139,1,low,0.1
314,1,low,0.1
176,1,low,0.1
39,1,high,0.1
104,1,high,0.1
316,1,low,0.1
