user_id,is_malicious,attack_type,attack_rate
284,1,high,0.3
116,1,high,0.3
113,1,low,0.3
42,1,high,0.3
126,1,low,0.3
231,1,high,0.3
181,1,low,0.3
278,1,high,0.3
336,1,low,0.3
25,1,high,0.3
124,1,low,0.3
221,1,low,0.3
261,1,high,0.3
155,1,high,0.3
109,1,low,0.3
172,1,high,0.3
118,1,low,0.3
325,1,high,0.3
266,1,low,0.3
9,1,low,0.3
280,1,low,0.3
55,1,low,0.3
165,1,low,0.3
119,1,low,0.3
144,1,high,0.3
90,1,high,0.3
108,1,high,0.3
210,1,low,0.3
139,1,low,0.3
314,1,low,0.3
176,1,low,0.3
39,1,high,0.3
104,1,high,0.3
316,1,low,0.3
78,1,high,0.3
5,1,high,0.3
300,1,low,0.3
329,1,high,0.3
110,1,low,0.3
76,1,high,0.3
84,1,low,0.3
3,1,low,0.3
158,1,low,0.3
228,1,low,0.3
46,1,high,0.3
315,1,low,0.3
286,1,low,0.3
296,1,low,0.3
73,1,high,0.3
33,1,low,0.3
319,1,high,0.3
182,1,low,0.3
203,1,high,0.3
82,1,high,0.3
63,1,low,0.3
197,1,high,0.3
57,1,low,0.3
331,1,low,0.3
334,1,low,0.3
45,1,high,0.3
305,1,high,0.3
306,1,low,0.3
317,1,low,0.3
173,1,high,0.3
208,1,low,0.3
72,1,low,0.3
75,1,low,0.3
16,1,high,0.3
66,1,high,0.3
114,1,high,0.3
7,1,low,0.3
137,1,low,0.3
328,1,low,0.3
302,1,high,0.3
298,1,low,0.3
77,1,low,0.3
145,1,low,0.3
198,1,low,0.3
254,1,high,0.3
60,1,high,0.3
101,1,low,0.3
272,1,high,0.3
94,1,high,0.3
199,1,low,0.3
147,1,low,0.3
17,1,high,0.3
24,1,low,0.3
275,1,high,0.3
143,1,low,0.3
222,1,high,0.3
250,1,low,0.3
268,1,high,0.3
211,1,high,0.3
247,1,high,0.3
152,1,low,0.3
209,1,high,0.3
19,1,high,0.3
194,1,low,0.3
79,1,low,0.3
321,1,high,0.3
18,1,high,0.3
140,1,low,0.3
